complaint,category,date,region
I am facing an issue where received damaged item from online store,Consumer Law,2024-07-22,Pune
Company is not honoring warranty,Consumer Law,2024-11-12,Chennai
Please help as received damaged item from online store,Consumer Law,2024-01-27,Chennai
This problem occurred because wrong product delivered and no replacement,Consumer Law,2022-02-24,Bangalore
This problem occurred because company is not honoring warranty,Consumer Law,2024-11-18,Bangalore
Please help as company is not honoring warranty,Consumer Law,2023-09-02,Mumbai
Please help as service provider charged extra money,Consumer Law,2022-03-24,Delhi
Kindly look into the matter: seller refused to refund defective product,Consumer Law,2022-03-20,Hyderabad
I am facing an issue where company is not honoring warranty,Consumer Law,2024-04-12,Kolkata
I am writing to report that wrong product delivered and no replacement,Consumer Law,2023-03-31,Mumbai
Kindly look into the matter: someone misused my social media account,Cyber Crime,2022-04-26,Ahmedabad
This problem occurred because online fraud transaction happened,Cyber Crime,2024-03-18,Mumbai
I need help since my bank account was hacked,Cyber Crime,2022-02-22,Ahmedabad
fake website stole my card details and no action has been taken,Cyber Crime,2024-02-08,Chennai
Kindly look into the matter: online fraud transaction happened,Cyber Crime,2023-02-25,Kolkata
This is regarding that my bank account was hacked,Cyber Crime,2022-03-21,Kolkata
I want to complain that fake website stole my card details,Cyber Crime,2024-05-23,Bangalore
This problem occurred because my bank account was hacked,Cyber Crime,2022-01-12,Delhi
Received phishing email asking for OTP,Cyber Crime,2024-10-28,Bangalore
online fraud transaction happened and no action has been taken,Cyber Crime,2023-03-17,Ahmedabad
This is regarding that someone misused my social media account,Cyber Crime,2022-04-23,Chennai
This problem occurred because someone misused my social media account,Cyber Crime,2022-08-10,Ahmedabad
I am writing to report that received phishing email asking for otp,Cyber Crime,2022-05-07,Ahmedabad
I am writing to report that someone misused my social media account,Cyber Crime,2022-07-28,Chennai
my bank account was hacked and no action has been taken,Cyber Crime,2024-09-08,Hyderabad
Online fraud transaction happened,Cyber Crime,2022-01-03,Delhi
This is regarding that fake website stole my card details,Cyber Crime,2022-08-12,Bangalore
I am writing to report that someone misused my social media account,Cyber Crime,2022-11-27,Delhi
This is regarding that fake website stole my card details,Cyber Crime,2022-05-28,Hyderabad
I need help since fake website stole my card details,Cyber Crime,2023-01-04,Mumbai
Kindly look into the matter: someone misused my social media account,Cyber Crime,2023-09-21,Pune
I want to complain that online fraud transaction happened,Cyber Crime,2024-04-29,Pune
Please help as someone misused my social media account,Cyber Crime,2022-09-15,Delhi
Online fraud transaction happened,Cyber Crime,2023-10-07,Delhi
Kindly look into the matter: my bank account was hacked,Cyber Crime,2024-02-24,Kolkata
This is regarding that online fraud transaction happened,Cyber Crime,2023-07-14,Ahmedabad
Kindly look into the matter: fake website stole my card details,Cyber Crime,2023-12-07,Ahmedabad
I want to complain that online fraud transaction happened,Cyber Crime,2024-10-10,Delhi
This problem occurred because someone misused my social media account,Cyber Crime,2022-01-23,Ahmedabad
someone misused my social media account and no action has been taken,Cyber Crime,2022-07-07,Mumbai
This problem occurred because my bank account was hacked,Cyber Crime,2023-06-22,Chennai
I want to complain that fake website stole my card details,Cyber Crime,2023-04-25,Hyderabad
I need help since my bank account was hacked,Cyber Crime,2023-09-22,Mumbai
Please help as received phishing email asking for otp,Cyber Crime,2024-11-13,Chennai
I am writing to report that my bank account was hacked,Cyber Crime,2024-12-04,Mumbai
Received phishing email asking for OTP,Cyber Crime,2024-03-29,Delhi
This problem occurred because someone misused my social media account,Cyber Crime,2024-01-05,Kolkata
I need help since received phishing email asking for otp,Cyber Crime,2024-06-11,Chennai
This is regarding that received phishing email asking for otp,Cyber Crime,2024-02-22,Bangalore
I need help since received phishing email asking for otp,Cyber Crime,2024-05-20,Delhi
I want to complain that fake website stole my card details,Cyber Crime,2023-10-25,Chennai
online fraud transaction happened and no action has been taken,Cyber Crime,2022-05-07,Chennai
online fraud transaction happened and no action has been taken,Cyber Crime,2022-06-09,Kolkata
I want to complain that received phishing email asking for otp,Cyber Crime,2024-11-12,Mumbai
This is regarding that fake website stole my card details,Cyber Crime,2024-10-03,Chennai
I am writing to report that online fraud transaction happened,Cyber Crime,2023-08-14,Chennai
Fake website stole my card details,Cyber Crime,2023-08-06,Kolkata
I need help since my bank account was hacked,Cyber Crime,2023-06-20,Hyderabad
This is regarding that online fraud transaction happened,Cyber Crime,2022-09-19,Chennai
This is regarding that someone misused my social media account,Cyber Crime,2023-03-23,Mumbai
someone misused my social media account and no action has been taken,Cyber Crime,2022-11-19,Bangalore
I want to complain that my bank account was hacked,Cyber Crime,2022-03-02,Chennai
I want to complain that online fraud transaction happened,Cyber Crime,2023-04-02,Pune
Please help as someone misused my social media account,Cyber Crime,2023-01-06,Chennai
I want to complain that online fraud transaction happened,Cyber Crime,2023-05-16,Kolkata
Kindly look into the matter: online fraud transaction happened,Cyber Crime,2023-10-09,Kolkata
Fake website stole my card details,Cyber Crime,2022-08-19,Hyderabad
I am writing to report that received phishing email asking for otp,Cyber Crime,2022-12-06,Delhi
I need help since my bank account was hacked,Cyber Crime,2024-11-27,Pune
Kindly look into the matter: someone misused my social media account,Cyber Crime,2024-02-24,Mumbai
online fraud transaction happened and no action has been taken,Cyber Crime,2024-12-20,Chennai
Please help as my bank account was hacked,Cyber Crime,2024-06-14,Hyderabad
This is regarding that someone misused my social media account,Cyber Crime,2024-09-30,Hyderabad
This problem occurred because online fraud transaction happened,Cyber Crime,2024-08-01,Delhi
This is regarding that someone misused my social media account,Cyber Crime,2022-12-19,Ahmedabad
Fake website stole my card details,Cyber Crime,2022-12-05,Kolkata
online fraud transaction happened and no action has been taken,Cyber Crime,2023-01-20,Pune
Please help as my bank account was hacked,Cyber Crime,2024-11-05,Bangalore
Kindly look into the matter: my bank account was hacked,Cyber Crime,2024-12-04,Pune
This problem occurred because my bank account was hacked,Cyber Crime,2023-04-28,Pune
This problem occurred because online fraud transaction happened,Cyber Crime,2024-11-07,Hyderabad
Received phishing email asking for OTP,Cyber Crime,2023-01-11,Ahmedabad
Fake website stole my card details,Cyber Crime,2024-10-04,Bangalore
Someone misused my social media account,Cyber Crime,2022-09-10,Bangalore
Received phishing email asking for OTP,Cyber Crime,2024-05-02,Hyderabad
I need help since online fraud transaction happened,Cyber Crime,2024-09-27,Delhi
I need help since online fraud transaction happened,Cyber Crime,2024-05-06,Pune
This problem occurred because received phishing email asking for otp,Cyber Crime,2023-10-11,Hyderabad
online fraud transaction happened and no action has been taken,Cyber Crime,2022-01-16,Delhi
Online fraud transaction happened,Cyber Crime,2024-09-09,Bangalore
I need help since fake website stole my card details,Cyber Crime,2022-04-11,Pune
Please help as fake website stole my card details,Cyber Crime,2024-11-01,Bangalore
I am facing an issue where my bank account was hacked,Cyber Crime,2023-02-12,Kolkata
I want to complain that received phishing email asking for otp,Cyber Crime,2024-02-12,Pune
received phishing email asking for otp and no action has been taken,Cyber Crime,2022-07-11,Kolkata
I am facing an issue where fake website stole my card details,Cyber Crime,2023-08-09,Kolkata
This problem occurred because online fraud transaction happened,Cyber Crime,2024-08-21,Ahmedabad
This is regarding that someone misused my social media account,Cyber Crime,2023-09-09,Delhi
Please help as online fraud transaction happened,Cyber Crime,2022-12-16,Ahmedabad
Please help as fake website stole my card details,Cyber Crime,2023-07-06,Ahmedabad
I am facing an issue where my bank account was hacked,Cyber Crime,2024-08-18,Chennai
This is regarding that online fraud transaction happened,Cyber Crime,2022-08-25,Ahmedabad
fake website stole my card details and no action has been taken,Cyber Crime,2023-01-19,Chennai
I need help since online fraud transaction happened,Cyber Crime,2022-06-15,Kolkata
Kindly look into the matter: received phishing email asking for otp,Cyber Crime,2023-04-04,Hyderabad
Kindly look into the matter: someone misused my social media account,Cyber Crime,2023-07-15,Pune
This is regarding that online fraud transaction happened,Cyber Crime,2022-05-02,Bangalore
I want to complain that fake website stole my card details,Cyber Crime,2023-12-20,Pune
I am facing an issue where received phishing email asking for otp,Cyber Crime,2024-06-07,Kolkata
I am facing an issue where my bank account was hacked,Cyber Crime,2023-02-03,Kolkata
I am facing an issue where online fraud transaction happened,Cyber Crime,2023-08-24,Chennai
Fake website stole my card details,Cyber Crime,2022-08-05,Pune
I am writing to report that received phishing email asking for otp,Cyber Crime,2022-08-13,Kolkata
Please help as online fraud transaction happened,Cyber Crime,2023-02-06,Kolkata
I want to complain that received phishing email asking for otp,Cyber Crime,2022-04-11,Delhi
Please help as online fraud transaction happened,Cyber Crime,2023-11-22,Hyderabad
My bank account was hacked,Cyber Crime,2024-07-26,Pune
Please help as received phishing email asking for otp,Cyber Crime,2024-05-27,Bangalore
someone misused my social media account and no action has been taken,Cyber Crime,2023-02-09,Delhi
Kindly look into the matter: my bank account was hacked,Cyber Crime,2022-10-06,Kolkata
Please help as someone misused my social media account,Cyber Crime,2022-04-10,Pune
I am writing to report that someone misused my social media account,Cyber Crime,2024-05-25,Delhi
Kindly look into the matter: someone misused my social media account,Cyber Crime,2022-08-26,Pune
Kindly look into the matter: fake website stole my card details,Cyber Crime,2024-07-09,Delhi
Kindly look into the matter: my bank account was hacked,Cyber Crime,2023-08-03,Bangalore
This problem occurred because my bank account was hacked,Cyber Crime,2024-06-05,Bangalore
I am writing to report that my bank account was hacked,Cyber Crime,2024-12-14,Pune
This is regarding that received phishing email asking for otp,Cyber Crime,2022-10-05,Chennai
This problem occurred because online fraud transaction happened,Cyber Crime,2023-10-01,Kolkata
This is regarding that received phishing email asking for otp,Cyber Crime,2023-04-19,Ahmedabad
This problem occurred because my bank account was hacked,Cyber Crime,2024-10-01,Kolkata
This problem occurred because online fraud transaction happened,Cyber Crime,2022-02-18,Ahmedabad
Kindly look into the matter: fake website stole my card details,Cyber Crime,2022-03-05,Mumbai
I am facing an issue where fake website stole my card details,Cyber Crime,2022-07-08,Mumbai
I am writing to report that online fraud transaction happened,Cyber Crime,2022-02-12,Kolkata
I am facing an issue where received phishing email asking for otp,Cyber Crime,2024-07-24,Pune
I want to complain that fake website stole my card details,Cyber Crime,2022-04-25,Chennai
I am writing to report that online fraud transaction happened,Cyber Crime,2022-06-09,Bangalore
This problem occurred because received phishing email asking for otp,Cyber Crime,2022-09-04,Hyderabad
I am writing to report that fake website stole my card details,Cyber Crime,2024-07-17,Delhi
I need help since online fraud transaction happened,Cyber Crime,2022-04-12,Mumbai
This problem occurred because online fraud transaction happened,Cyber Crime,2022-09-06,Bangalore
I need help since online fraud transaction happened,Cyber Crime,2023-10-18,Hyderabad
I want to complain that my bank account was hacked,Cyber Crime,2023-12-15,Hyderabad
Please help as received phishing email asking for otp,Cyber Crime,2023-09-28,Chennai
I am writing to report that fake website stole my card details,Cyber Crime,2023-05-26,Kolkata
This problem occurred because fake website stole my card details,Cyber Crime,2022-04-26,Mumbai
Fake website stole my card details,Cyber Crime,2023-10-24,Mumbai
I want to complain that received phishing email asking for otp,Cyber Crime,2024-11-10,Chennai
This problem occurred because online fraud transaction happened,Cyber Crime,2024-03-13,Ahmedabad
My bank account was hacked,Cyber Crime,2023-09-08,Bangalore
Someone misused my social media account,Cyber Crime,2023-10-02,Kolkata
I am writing to report that online fraud transaction happened,Cyber Crime,2022-06-03,Hyderabad
I want to complain that online fraud transaction happened,Cyber Crime,2022-05-30,Delhi
I need help since my bank account was hacked,Cyber Crime,2022-10-16,Bangalore
I am writing to report that my bank account was hacked,Cyber Crime,2024-01-08,Delhi
Kindly look into the matter: fake website stole my card details,Cyber Crime,2023-05-15,Chennai
I am facing an issue where my bank account was hacked,Cyber Crime,2023-02-03,Chennai
This is regarding that my bank account was hacked,Cyber Crime,2023-10-02,Kolkata
someone misused my social media account and no action has been taken,Cyber Crime,2024-05-15,Kolkata
I am writing to report that fake website stole my card details,Cyber Crime,2024-01-17,Ahmedabad
Received phishing email asking for OTP,Cyber Crime,2023-03-14,Pune
I am writing to report that someone misused my social media account,Cyber Crime,2024-01-16,Mumbai
I need help since my bank account was hacked,Cyber Crime,2023-06-04,Mumbai
Please help as someone misused my social media account,Cyber Crime,2024-11-09,Chennai
I need help since received phishing email asking for otp,Cyber Crime,2023-11-09,Hyderabad
I want to complain that online fraud transaction happened,Cyber Crime,2024-12-17,Delhi
My bank account was hacked,Cyber Crime,2022-11-28,Ahmedabad
I need help since someone misused my social media account,Cyber Crime,2022-10-30,Ahmedabad
I need help since online fraud transaction happened,Cyber Crime,2022-01-09,Bangalore
fake website stole my card details and no action has been taken,Cyber Crime,2022-03-27,Delhi
This problem occurred because received phishing email asking for otp,Cyber Crime,2024-11-26,Pune
someone misused my social media account and no action has been taken,Cyber Crime,2022-03-04,Kolkata
I need help since someone misused my social media account,Cyber Crime,2023-11-01,Ahmedabad
I am writing to report that someone misused my social media account,Cyber Crime,2024-06-09,Pune
I am writing to report that someone misused my social media account,Cyber Crime,2023-03-15,Ahmedabad
I am writing to report that received phishing email asking for otp,Cyber Crime,2024-12-15,Bangalore
I need help since my bank account was hacked,Cyber Crime,2024-06-05,Kolkata
I am writing to report that fake website stole my card details,Cyber Crime,2024-10-07,Delhi
I am writing to report that someone misused my social media account,Cyber Crime,2024-06-29,Hyderabad
Kindly look into the matter: online fraud transaction happened,Cyber Crime,2024-05-26,Ahmedabad
This is regarding that my bank account was hacked,Cyber Crime,2023-06-18,Delhi
This is regarding that online fraud transaction happened,Cyber Crime,2022-12-09,Bangalore
Kindly look into the matter: online fraud transaction happened,Cyber Crime,2022-11-05,Chennai
I am writing to report that my bank account was hacked,Cyber Crime,2024-02-11,Mumbai
I am writing to report that received phishing email asking for otp,Cyber Crime,2024-11-04,Mumbai
Please help as my bank account was hacked,Cyber Crime,2023-05-06,Pune
fake website stole my card details and no action has been taken,Cyber Crime,2022-03-06,Pune
online fraud transaction happened and no action has been taken,Cyber Crime,2023-12-19,Mumbai
This is regarding that fake website stole my card details,Cyber Crime,2023-08-12,Mumbai
Please help as fake website stole my card details,Cyber Crime,2022-03-02,Mumbai
I want to complain that received phishing email asking for otp,Cyber Crime,2024-10-28,Pune
This is regarding that someone misused my social media account,Cyber Crime,2024-05-20,Chennai
Kindly look into the matter: received phishing email asking for otp,Cyber Crime,2024-09-19,Ahmedabad
someone misused my social media account and no action has been taken,Cyber Crime,2024-02-02,Kolkata
I need help since received phishing email asking for otp,Cyber Crime,2022-06-28,Kolkata
This is regarding that fake website stole my card details,Cyber Crime,2024-12-06,Pune
my bank account was hacked and no action has been taken,Cyber Crime,2022-08-21,Kolkata
Please help as my bank account was hacked,Cyber Crime,2024-12-26,Mumbai
I am facing an issue where fake website stole my card details,Cyber Crime,2024-08-10,Pune
This is regarding that received phishing email asking for otp,Cyber Crime,2022-12-28,Kolkata
I want to complain that online fraud transaction happened,Cyber Crime,2022-06-10,Kolkata
I am writing to report that my bank account was hacked,Cyber Crime,2022-11-18,Mumbai
I want to complain that my bank account was hacked,Cyber Crime,2023-09-08,Delhi
This problem occurred because received phishing email asking for otp,Cyber Crime,2023-06-11,Delhi
online fraud transaction happened and no action has been taken,Cyber Crime,2024-10-22,Mumbai
Kindly look into the matter: my bank account was hacked,Cyber Crime,2024-09-08,Delhi
Please help as received phishing email asking for otp,Cyber Crime,2023-07-12,Kolkata
Kindly look into the matter: someone misused my social media account,Cyber Crime,2024-10-10,Kolkata
Please help as online fraud transaction happened,Cyber Crime,2023-10-05,Pune
someone misused my social media account and no action has been taken,Cyber Crime,2022-10-21,Ahmedabad
Someone misused my social media account,Cyber Crime,2023-12-17,Pune
This is regarding that received phishing email asking for otp,Cyber Crime,2022-06-11,Hyderabad
I want to complain that fake website stole my card details,Cyber Crime,2023-07-18,Hyderabad
This is regarding that fake website stole my card details,Cyber Crime,2023-06-08,Kolkata
I need help since received phishing email asking for otp,Cyber Crime,2023-08-30,Ahmedabad
Please help as fake website stole my card details,Cyber Crime,2022-02-04,Mumbai
This is regarding that someone misused my social media account,Cyber Crime,2023-12-27,Delhi
I am writing to report that received phishing email asking for otp,Cyber Crime,2022-02-14,Delhi
I want to complain that received phishing email asking for otp,Cyber Crime,2024-08-24,Kolkata
This problem occurred because fake website stole my card details,Cyber Crime,2023-12-23,Kolkata
Kindly look into the matter: someone misused my social media account,Cyber Crime,2023-12-12,Bangalore
I am facing an issue where received phishing email asking for otp,Cyber Crime,2022-12-30,Hyderabad
received phishing email asking for otp and no action has been taken,Cyber Crime,2024-12-17,Hyderabad
I am facing an issue where fake website stole my card details,Cyber Crime,2022-03-24,Delhi
fake website stole my card details and no action has been taken,Cyber Crime,2023-12-29,Delhi
I want to complain that fake website stole my card details,Cyber Crime,2022-12-03,Mumbai
This is regarding that my bank account was hacked,Cyber Crime,2024-09-26,Delhi
This problem occurred because received phishing email asking for otp,Cyber Crime,2023-09-25,Mumbai
I want to complain that fake website stole my card details,Cyber Crime,2024-08-15,Mumbai
I want to complain that someone misused my social media account,Cyber Crime,2024-01-14,Mumbai
I am facing an issue where online fraud transaction happened,Cyber Crime,2024-01-21,Pune
I need help since received phishing email asking for otp,Cyber Crime,2022-05-24,Kolkata
someone misused my social media account and no action has been taken,Cyber Crime,2024-04-14,Hyderabad
This is regarding that someone misused my social media account,Cyber Crime,2022-01-05,Pune
I am facing an issue where online fraud transaction happened,Cyber Crime,2023-12-27,Hyderabad
I am writing to report that received phishing email asking for otp,Cyber Crime,2023-02-22,Bangalore
I am writing to report that someone misused my social media account,Cyber Crime,2024-03-30,Kolkata
This is regarding that online fraud transaction happened,Cyber Crime,2022-08-26,Mumbai
My bank account was hacked,Cyber Crime,2023-10-09,Delhi
I am facing an issue where my bank account was hacked,Cyber Crime,2023-12-11,Mumbai
I need help since my bank account was hacked,Cyber Crime,2022-06-11,Kolkata
I need help since someone misused my social media account,Cyber Crime,2023-05-26,Hyderabad
I want to complain that received phishing email asking for otp,Cyber Crime,2024-10-04,Chennai
I am writing to report that my bank account was hacked,Cyber Crime,2022-11-29,Delhi
fake website stole my card details and no action has been taken,Cyber Crime,2023-08-05,Ahmedabad
This problem occurred because fake website stole my card details,Cyber Crime,2023-10-12,Ahmedabad
I am facing an issue where received phishing email asking for otp,Cyber Crime,2024-02-27,Bangalore
I want to complain that fake website stole my card details,Cyber Crime,2022-07-04,Delhi
I need help since online fraud transaction happened,Cyber Crime,2023-10-13,Mumbai
I am facing an issue where someone misused my social media account,Cyber Crime,2022-11-22,Hyderabad
Kindly look into the matter: someone misused my social media account,Cyber Crime,2022-05-02,Bangalore
I am facing an issue where received phishing email asking for otp,Cyber Crime,2022-09-04,Mumbai
This problem occurred because my bank account was hacked,Cyber Crime,2023-08-28,Kolkata
This is regarding that received phishing email asking for otp,Cyber Crime,2022-10-15,Delhi
I am facing an issue where fake website stole my card details,Cyber Crime,2023-03-07,Delhi
I am writing to report that received phishing email asking for otp,Cyber Crime,2023-12-11,Pune
I need help since received phishing email asking for otp,Cyber Crime,2022-07-18,Ahmedabad
I am facing an issue where online fraud transaction happened,Cyber Crime,2024-02-07,Mumbai
I am writing to report that fake website stole my card details,Cyber Crime,2022-05-03,Hyderabad
I want to complain that my bank account was hacked,Cyber Crime,2024-09-28,Hyderabad
Kindly look into the matter: received phishing email asking for otp,Cyber Crime,2023-05-19,Pune
Please help as someone misused my social media account,Cyber Crime,2022-08-28,Kolkata
This is regarding that online fraud transaction happened,Cyber Crime,2023-07-06,Pune
This problem occurred because fake website stole my card details,Cyber Crime,2024-02-07,Bangalore
This problem occurred because my bank account was hacked,Cyber Crime,2023-03-20,Hyderabad
I need help since online fraud transaction happened,Cyber Crime,2022-11-13,Hyderabad
Please help as online fraud transaction happened,Cyber Crime,2023-09-27,Bangalore
This is regarding that received phishing email asking for otp,Cyber Crime,2022-10-21,Delhi
I am facing an issue where my bank account was hacked,Cyber Crime,2024-02-10,Chennai
Online fraud transaction happened,Cyber Crime,2023-01-09,Delhi
This problem occurred because someone misused my social media account,Cyber Crime,2024-10-25,Pune
This problem occurred because fake website stole my card details,Cyber Crime,2024-09-18,Bangalore
Online fraud transaction happened,Cyber Crime,2024-10-08,Ahmedabad
Kindly look into the matter: someone misused my social media account,Cyber Crime,2023-10-01,Chennai
Kindly look into the matter: online fraud transaction happened,Cyber Crime,2024-07-13,Bangalore
This problem occurred because received phishing email asking for otp,Cyber Crime,2024-03-07,Mumbai
I need help since my bank account was hacked,Cyber Crime,2024-08-01,Hyderabad
I am writing to report that online fraud transaction happened,Cyber Crime,2023-07-21,Pune
This problem occurred because my bank account was hacked,Cyber Crime,2023-06-26,Delhi
Someone misused my social media account,Cyber Crime,2022-10-19,Delhi
Please help as fake website stole my card details,Cyber Crime,2023-12-19,Delhi
This is regarding that my bank account was hacked,Cyber Crime,2023-09-25,Chennai
someone misused my social media account and no action has been taken,Cyber Crime,2024-01-17,Pune
I need help since someone misused my social media account,Cyber Crime,2023-03-26,Delhi
Online fraud transaction happened,Cyber Crime,2023-01-17,Ahmedabad
I am writing to report that received phishing email asking for otp,Cyber Crime,2023-04-12,Kolkata
I want to complain that my bank account was hacked,Cyber Crime,2022-02-10,Kolkata
Please help as someone misused my social media account,Cyber Crime,2023-09-14,Chennai
I am facing an issue where someone misused my social media account,Cyber Crime,2023-08-22,Delhi
Someone misused my social media account,Cyber Crime,2024-11-01,Mumbai
I want to complain that fake website stole my card details,Cyber Crime,2024-04-25,Bangalore
online fraud transaction happened and no action has been taken,Cyber Crime,2022-12-16,Ahmedabad
I need help since received phishing email asking for otp,Cyber Crime,2024-10-02,Kolkata
I want to complain that fake website stole my card details,Cyber Crime,2024-05-12,Mumbai
I am facing an issue where fake website stole my card details,Cyber Crime,2022-01-18,Bangalore
I am writing to report that fake website stole my card details,Cyber Crime,2023-10-28,Pune
This problem occurred because my bank account was hacked,Cyber Crime,2022-03-20,Delhi
Kindly look into the matter: online fraud transaction happened,Cyber Crime,2023-01-11,Bangalore
This problem occurred because fake website stole my card details,Cyber Crime,2024-10-09,Bangalore
I am writing to report that my bank account was hacked,Cyber Crime,2023-10-29,Hyderabad
This is regarding that someone misused my social media account,Cyber Crime,2022-08-18,Pune
I want to complain that someone misused my social media account,Cyber Crime,2024-04-14,Hyderabad
This is regarding that online fraud transaction happened,Cyber Crime,2023-07-13,Ahmedabad
This problem occurred because fake website stole my card details,Cyber Crime,2024-10-06,Kolkata
My bank account was hacked,Cyber Crime,2024-08-28,Mumbai
I need help since fake website stole my card details,Cyber Crime,2024-08-15,Chennai
I am writing to report that received phishing email asking for otp,Cyber Crime,2024-09-06,Mumbai
I need help since someone misused my social media account,Cyber Crime,2023-02-06,Pune
I want to complain that fake website stole my card details,Cyber Crime,2024-07-10,Mumbai
This problem occurred because received phishing email asking for otp,Cyber Crime,2024-10-10,Mumbai
I am writing to report that fake website stole my card details,Cyber Crime,2023-06-27,Bangalore
I am facing an issue where my bank account was hacked,Cyber Crime,2023-12-24,Mumbai
I am writing to report that my bank account was hacked,Cyber Crime,2022-11-24,Kolkata
I am writing to report that someone misused my social media account,Cyber Crime,2023-10-18,Kolkata
Kindly look into the matter: my bank account was hacked,Cyber Crime,2022-10-04,Chennai
I am facing an issue where received phishing email asking for otp,Cyber Crime,2024-11-26,Ahmedabad
I am facing an issue where fake website stole my card details,Cyber Crime,2022-05-05,Ahmedabad
Please help as fake website stole my card details,Cyber Crime,2023-12-23,Ahmedabad
Please help as fake website stole my card details,Cyber Crime,2022-09-28,Chennai
This problem occurred because online fraud transaction happened,Cyber Crime,2022-01-16,Chennai
I am writing to report that someone misused my social media account,Cyber Crime,2024-11-09,Kolkata
This is regarding that someone misused my social media account,Cyber Crime,2024-02-25,Bangalore
I need help since fake website stole my card details,Cyber Crime,2024-09-25,Kolkata
Please help as my bank account was hacked,Cyber Crime,2024-04-10,Ahmedabad
I am facing an issue where fake website stole my card details,Cyber Crime,2024-12-13,Kolkata
I want to complain that fake website stole my card details,Cyber Crime,2023-10-04,Kolkata
I want to complain that someone misused my social media account,Cyber Crime,2024-07-07,Hyderabad
I am facing an issue where online fraud transaction happened,Cyber Crime,2024-05-23,Delhi
Kindly look into the matter: online fraud transaction happened,Cyber Crime,2022-03-12,Chennai
I want to complain that online fraud transaction happened,Cyber Crime,2022-09-22,Ahmedabad
Please help as someone misused my social media account,Cyber Crime,2024-08-05,Pune
I am facing an issue where someone misused my social media account,Cyber Crime,2024-08-15,Hyderabad
Fake website stole my card details,Cyber Crime,2023-11-15,Mumbai
I need help since fake website stole my card details,Cyber Crime,2023-09-29,Bangalore
Kindly look into the matter: online fraud transaction happened,Cyber Crime,2024-01-15,Mumbai
Please help as online fraud transaction happened,Cyber Crime,2023-12-10,Kolkata
This problem occurred because online fraud transaction happened,Cyber Crime,2022-08-23,Pune
This problem occurred because my bank account was hacked,Cyber Crime,2022-02-27,Delhi
I am facing an issue where fake website stole my card details,Cyber Crime,2022-03-31,Chennai
I want to complain that someone misused my social media account,Cyber Crime,2023-11-10,Pune
This is regarding that received phishing email asking for otp,Cyber Crime,2024-07-12,Bangalore
Please help as received phishing email asking for otp,Cyber Crime,2023-05-24,Ahmedabad
My bank account was hacked,Cyber Crime,2023-10-25,Mumbai
someone misused my social media account and no action has been taken,Cyber Crime,2023-09-05,Hyderabad
Please help as online fraud transaction happened,Cyber Crime,2024-12-09,Ahmedabad
I am writing to report that fake website stole my card details,Cyber Crime,2023-07-21,Pune
This is regarding that online fraud transaction happened,Cyber Crime,2022-06-05,Ahmedabad
Someone misused my social media account,Cyber Crime,2022-07-07,Kolkata
Kindly look into the matter: online fraud transaction happened,Cyber Crime,2023-03-11,Chennai
I am writing to report that my bank account was hacked,Cyber Crime,2023-02-02,Bangalore
Fake website stole my card details,Cyber Crime,2022-08-30,Mumbai
I need help since my bank account was hacked,Cyber Crime,2022-11-18,Pune
Received phishing email asking for OTP,Cyber Crime,2024-12-27,Kolkata
This is regarding that fake website stole my card details,Cyber Crime,2022-08-25,Pune
This problem occurred because online fraud transaction happened,Cyber Crime,2023-01-14,Ahmedabad
Please help as fake website stole my card details,Cyber Crime,2022-03-10,Chennai
Kindly look into the matter: my bank account was hacked,Cyber Crime,2024-09-25,Pune
I need help since fake website stole my card details,Cyber Crime,2024-06-14,Delhi
This problem occurred because fake website stole my card details,Cyber Crime,2022-11-23,Ahmedabad
This is regarding that online fraud transaction happened,Cyber Crime,2022-06-19,Delhi
someone misused my social media account and no action has been taken,Cyber Crime,2024-09-11,Ahmedabad
Kindly look into the matter: someone misused my social media account,Cyber Crime,2024-05-04,Bangalore
I am facing an issue where someone misused my social media account,Cyber Crime,2022-12-27,Mumbai
I am writing to report that online fraud transaction happened,Cyber Crime,2024-02-24,Mumbai
Please help as received phishing email asking for otp,Cyber Crime,2024-11-03,Bangalore
Kindly look into the matter: online fraud transaction happened,Cyber Crime,2023-06-18,Mumbai
Please help as my bank account was hacked,Cyber Crime,2023-11-22,Bangalore
fake website stole my card details and no action has been taken,Cyber Crime,2024-12-23,Delhi
I am facing an issue where fake website stole my card details,Cyber Crime,2024-11-13,Chennai
This problem occurred because fake website stole my card details,Cyber Crime,2023-12-10,Hyderabad
This problem occurred because someone misused my social media account,Cyber Crime,2024-08-31,Delhi
Someone misused my social media account,Cyber Crime,2022-05-09,Delhi
I am writing to report that fake website stole my card details,Cyber Crime,2024-12-16,Ahmedabad
My bank account was hacked,Cyber Crime,2022-02-24,Chennai
I need help since someone misused my social media account,Cyber Crime,2022-04-22,Pune
Please help as my bank account was hacked,Cyber Crime,2023-06-08,Bangalore
This problem occurred because online fraud transaction happened,Cyber Crime,2022-09-06,Chennai
This is regarding that received phishing email asking for otp,Cyber Crime,2022-06-15,Chennai
Received phishing email asking for OTP,Cyber Crime,2024-01-05,Ahmedabad
Please help as online fraud transaction happened,Cyber Crime,2024-10-02,Delhi
fake website stole my card details and no action has been taken,Cyber Crime,2024-12-01,Hyderabad
This problem occurred because online fraud transaction happened,Cyber Crime,2022-10-23,Mumbai
This problem occurred because online fraud transaction happened,Cyber Crime,2023-11-19,Hyderabad
